sample_name,library,filename,filename2,library_ID
RIAIL_52,CB-1,RIAIL_52_S430_L005_R1_001.fastq.gz,RIAIL_52_S430_L005_R2_001.fastq.gz,RIAIL_52:CB-1:paired:WGS:IlluminaHiSeq4000
RIAIL_53,CB-1,RIAIL_53_S431_L005_R1_001.fastq.gz,RIAIL_53_S431_L005_R2_001.fastq.gz,RIAIL_53:CB-1:paired:WGS:IlluminaHiSeq4000
RIAIL_54,CB-1,RIAIL_54_S432_L005_R1_001.fastq.gz,RIAIL_54_S432_L005_R2_001.fastq.gz,RIAIL_54:CB-1:paired:WGS:IlluminaHiSeq4000
RIAIL_55,CB-1,RIAIL_55_S433_L005_R1_001.fastq.gz,RIAIL_55_S433_L005_R2_001.fastq.gz,RIAIL_55:CB-1:paired:WGS:IlluminaHiSeq4000
RIAIL_56,CB-1,RIAIL_56_S434_L005_R1_001.fastq.gz,RIAIL_56_S434_L005_R2_001.fastq.gz,RIAIL_56:CB-1:paired:WGS:IlluminaHiSeq4000
RIAIL_57,CB-1,RIAIL_57_S435_L005_R1_001.fastq.gz,RIAIL_57_S435_L005_R2_001.fastq.gz,RIAIL_57:CB-1:paired:WGS:IlluminaHiSeq4000
RIAIL_58,CB-1,RIAIL_58_S436_L005_R1_001.fastq.gz,RIAIL_58_S436_L005_R2_001.fastq.gz,RIAIL_58:CB-1:paired:WGS:IlluminaHiSeq4000
RIAIL_59,CB-1,RIAIL_59_S437_L005_R1_001.fastq.gz,RIAIL_59_S437_L005_R2_001.fastq.gz,RIAIL_59:CB-1:paired:WGS:IlluminaHiSeq4000
RIAIL_60,CB-1,RIAIL_60_S438_L005_R1_001.fastq.gz,RIAIL_60_S438_L005_R2_001.fastq.gz,RIAIL_60:CB-1:paired:WGS:IlluminaHiSeq4000
RIAIL_61,CB-1,RIAIL_61_S439_L005_R1_001.fastq.gz,RIAIL_61_S439_L005_R2_001.fastq.gz,RIAIL_61:CB-1:paired:WGS:IlluminaHiSeq4000
RIAIL_62,CB-1,RIAIL_62_S440_L005_R1_001.fastq.gz,RIAIL_62_S440_L005_R2_001.fastq.gz,RIAIL_62:CB-1:paired:WGS:IlluminaHiSeq4000
RIAIL_63,CB-1,RIAIL_63_S441_L005_R1_001.fastq.gz,RIAIL_63_S441_L005_R2_001.fastq.gz,RIAIL_63:CB-1:paired:WGS:IlluminaHiSeq4000
RIAIL_64,CB-1,RIAIL_64_S442_L005_R1_001.fastq.gz,RIAIL_64_S442_L005_R2_001.fastq.gz,RIAIL_64:CB-1:paired:WGS:IlluminaHiSeq4000
