,mean,CI2.5%,CI97.5%
1,-0.011005044895675673,-0.0646870566855365,0.1275904303795655
2,-0.003777785946506988,-0.06680696638554405,0.19876565795823667
3,-0.01740682474613998,-0.07083491732136632,0.13763588469366592
4,0.15946352634260225,0.058090578297709416,0.4162395909307772
5,-0.18546872755911215,-0.26742417440105637,0.01628596665111641
6,0.013017216280755108,-0.03540154324129645,0.16246021798521365
7,-0.1696512196493566,-0.2313536661376874,0.01430814243731011
8,-0.08975175887517707,-0.15232781325271466,0.07570777110643384
9,0.12494141377861688,0.08750402647579272,0.27875911943126763
10,0.07658374519808649,0.03296352229996648,0.2368411084944208
11,0.057002208937642296,0.01375373063406346,0.19436266290809423
12,0.09660456537502217,0.0503537967836376,0.24834909612417477
13,0.06501896087891137,0.019016823172059993,0.1853036008278755
14,-0.023536176434610125,-0.07145477568668512,0.13658378266895227
15,-0.10435566553056537,-0.17220559576839864,0.058026421311753215
16,0.09261847232260464,0.04027583578495622,0.24565452721456668
17,-0.09719687008102669,-0.14638657217454837,0.035818977686486723
18,-0.09845432143024262,-0.14860188287103038,0.023190279915340468
19,0.0075644264843565175,-0.040033252628657076,0.13551230377612236
20,-0.1082623741409715,-0.15909420334196378,0.07396478358986483
21,-0.049162489009310424,-0.09490531012797468,0.0889922675179681
22,-0.061217386534004284,-0.10454534977171784,0.06233537156544505
23,-0.10158430490633444,-0.16378789430639668,0.10475844072451582
24,0.04267073691703729,-0.007771710728426945,0.20381792697181667
25,0.03698524599096941,-0.00952517889975088,0.17326481099592358
26,0.04470326957200681,-0.011311358228001556,0.20908454058348797
27,-0.05650114781441176,-0.1445275571476716,0.2147886788147671
28,-0.12123577061658261,-0.17680933109468672,-0.001159804364995546
29,0.07184494993904286,0.02517863689508955,0.20102972807220387
30,-0.018409862745767162,-0.06587107970081049,0.1136416149788144
31,0.010105289446027123,-0.036490902638748254,0.13617330854286958
32,-0.08548983359545766,-0.14331961191745443,0.04621701212551185
33,-0.22344893685725062,-0.26491202116071455,-0.10671663044658394
34,0.24100876921150433,0.17728887044575434,0.4048689031284594
35,0.22041089156672986,0.18129845712982842,0.3330166636285043
36,-0.1945274543600351,-0.23787820237104373,-0.0450218066744331
37,0.06821421961939328,-0.009750819761317794,0.24604251630786803
38,0.13039522309115226,0.08346867771224917,0.2580418975129974
39,-0.29247681823329946,-0.35000025536227175,-0.11797503929106151
40,-0.01748697162225175,-0.07737969264905306,0.1464848548334513
41,0.06758656772944283,0.009363991247088865,0.19816588130203128
42,0.06713403966388894,0.013804263513137752,0.25120991967499756
43,0.16562386219216726,0.09147097077087146,0.35163869417413385
44,0.013814208369399983,-0.06234592771333328,0.23464735563675
45,0.1881629418558793,0.14070812290988796,0.3147678163672461
46,0.11686427276187576,0.07094614086621212,0.22416605700553283
47,0.1124189952489172,0.051605108432681734,0.2740521719385168
48,0.06033320689350385,0.0028653526788186418,0.20246703606715966
49,0.07131335546791952,0.028534243664213733,0.18898431073286454
50,-0.03444730366658649,-0.07058063241048343,0.08556418719045057
51,0.11028349022129397,0.06333514288731885,0.2534452949560635
52,0.09543669366062735,0.05625856234013976,0.22587886298612314
53,-0.18410273217578876,-0.22752440571347585,-0.03100915077627963
54,0.6991191521588768,0.6484489067882877,0.7954327261242299
55,-0.8022553891962229,-0.8364411152962216,-0.7079883503039114
56,-0.7806365393574884,-0.8216749355560462,-0.6593181115533908
57,-0.7776235475727898,-0.8191406523262209,-0.6528110606051437
58,0.6901566888662564,0.6540544471364264,0.798022059962833
59,0.8062484339191616,0.7542166348531458,0.9182212823753095
60,0.9443585847416028,0.8962742356437093,1.0683255329404282
61,-0.9430952383299946,-1.004374446742901,-0.7793654271838701
62,-0.9000603669813994,-0.9435186514192422,-0.7830428104053713
63,0.9956460029067514,0.9478343094130979,1.1320839784651302
64,0.9294146314222321,0.8883174086084272,1.0496018996885885
65,-0.9729803554245359,-1.0154734733520687,-0.852012983345632
66,-0.8926090528786645,-0.9386625759547504,-0.780425218502735
67,0.6237102865137331,0.5549802108029956,0.7877468749885705
68,-0.5434493928357651,-0.5971128172830859,-0.387923558706287
69,-0.777907193707766,-0.8241561212534823,-0.6732193770946929
70,-0.7816229760526546,-0.8184798250196917,-0.66895703197432
71,-0.7589294627423802,-0.8034975128720101,-0.6369568309770189
72,-0.7940081352660201,-0.8399938700972607,-0.651672179793721
73,0.5703312603101405,0.5336294524352482,0.6747835473522724
74,-0.48217631868019273,-0.533949524117545,-0.36200947507842657
75,-0.12336350577371326,-0.19606410883444447,0.09622735635159851
76,0.09522067352341056,0.012747605090577409,0.3308505271597682
77,-0.008658548766195094,-0.053748815202688024,0.10358717183165772
78,0.2736817186352085,0.1898378394285425,0.44471450879140534
79,0.1502707068420315,0.11091446540764208,0.2766121651394392
80,-0.06757576853017054,-0.14306388899866454,0.14720387023945042
81,-0.18537037191543487,-0.23866193793010682,-0.052878487246848245
82,-0.165407794037909,-0.21736505920180235,-0.04485406351239906
83,-0.14935919939625283,-0.2177260643854821,0.10264938421435424
84,-0.1009460965188118,-0.14773444789372747,0.027960454104446246
85,0.06898224746267978,0.02331728021678099,0.20014931965726077
86,-0.13627717838114028,-0.19243319952404986,-0.0028831183701857406
87,-0.14382697599944522,-0.21216443315036804,0.012737569535888234
88,0.21679144410438295,0.16153910807304345,0.3960519908661928
89,-0.2745978550825092,-0.35161835333944214,-0.05999298261454765
90,0.15895709881368444,0.11927376696679556,0.3039452354757646
91,-0.2654558304323971,-0.31730123354217055,-0.15911798435569713
92,-0.05568956929085465,-0.10414009614119045,0.05339221444296032
93,-0.09162668118577973,-0.1468127434962406,0.06324671995295873
94,0.017086106696773705,-0.03689334519817446,0.1440885626686961
95,0.13044600414749413,0.08663670350101058,0.2650982273024792
96,-0.12139835056129558,-0.1701844291738511,0.018049675133599397
97,-0.15291963902432634,-0.20217174107201388,-0.013850508772666238
98,0.22753536438417446,0.1840457604905543,0.3750424976055407
99,0.15158158591810075,0.09082666138167042,0.2772386738807883
100,-0.1420602173176887,-0.19151163440471172,0.052011536314425
101,0.044941159517394205,0.004034787903974296,0.18413534455611386
102,-0.07973898965524812,-0.13206241965281496,0.059064041898261636
103,-0.14477772977821332,-0.20202423495963215,-0.00354868331776089
