block,sort_plate,well,dil_fact,rand_id,line_id,lawn_note,censor,growth type,well_note,time_washed,date_sort,sorter_source_well,L1_VP604,L1_MA,L1_plus_VP604,L1_plus_MA,source_file,,,,
1,1,D07,5,43,,Partial Lawn,,normal,,2:00 PM,4-Jul,D7,907,859,102,58,20170704_Plate3_acquisition_1.processed,,,,
1,1,D08,5,44,,Partial Lawn,,normal,,2:00 PM,4-Jul,D8,1181,708,174,30,20170704_Plate3_acquisition_1.processed,,,,
1,1,D09,5,45,,,,normal,,2:00 PM,4-Jul,D9,908,1479,141,88,20170704_Plate3_acquisition_1.processed,,,,
1,1,D10,5,46,,Partial Lawn,,normal,,2:00 PM,4-Jul,D10,729,529,117,25,20170704_Plate3_acquisition_1.processed,,,,
1,1,D11,5,47,,Partial Lawn,,normal,,2:00 PM,4-Jul,D11,604,620,96,38,20170704_Plate3_acquisition_1.processed,,,,
1,1,D12,5,48,,,,normal,,2:00 PM,4-Jul,D12,1213,1573,118,66,20170704_Plate3_acquisition_1.processed,,,,
1,1,E01,5,,,,,normal,,2:00 PM,4-Jul,E1,5,9,1,1,20170704_Plate3_acquisition_1.processed,,,,
1,1,E02,5,50,,,,normal,,2:00 PM,4-Jul,E2,639,1266,46,37,20170704_Plate3_acquisition_1.processed,,,,
1,1,E03,5,51,,,,normal,,2:00 PM,4-Jul,E3,952,876,43,6,20170704_Plate3_acquisition_1.processed,,,,
1,1,E04,5,52,,,,normal,,2:00 PM,4-Jul,E4,588,1093,33,24,20170704_Plate3_acquisition_1.processed,,,,
1,1,E05,5,53,,,,normal,,2:00 PM,4-Jul,E5,979,1155,51,21,20170704_Plate3_acquisition_1.processed,,,,
1,1,E06,5,54,,,,normal,,2:00 PM,4-Jul,E6,812,1138,36,14,20170704_Plate3_acquisition_1.processed,,,,
1,1,E07,5,73,,,,normal,,2:00 PM,4-Jul,E7,1268,676,175,45,20170704_Plate3_acquisition_1.processed,,,,
1,1,E08,5,74,,Partial Lawn,,normal,,2:00 PM,4-Jul,E8,1540,687,219,22,20170704_Plate3_acquisition_1.processed,,,,
1,1,E09,5,75,,Partial Lawn,,normal,,2:00 PM,4-Jul,E9,1205,372,283,24,20170704_Plate3_acquisition_1.processed,,,,
1,1,E10,5,76,,,,normal,,2:00 PM,4-Jul,E10,723,2041,70,121,20170704_Plate3_acquisition_1.processed,,,,
1,1,E11,5,77,,,,normal,,2:00 PM,4-Jul,E11,400,1352,52,32,20170704_Plate3_acquisition_1.processed,,,,
